KODE,NAMA BAHAN,SUMBER,ENERGI,PROTEIN,LEMAK,KH,SERAT,Cluster
AR002,"Beras giling var pelita, mentah",KZGPI- 1990,369.0,9.5,1.4,77.1,0.4,0
AR003,"Beras giling var rojolele, mentah",KZGPI- 1990,357.0,8.4,1.7,77.1,0.2,0
AR004,"Beras jagung kuning, kering, mentah",KZGMI-2001,358.0,5.5,0.1,82.7,10.0,0
AR005,"Beras jagung putih, kering, mentah",KZGMI-2001,307.0,4.8,0.1,71.8,10.0,0
AR006,"Beras ketan hitam tumbuk, mentah",KZGPI- 1990,360.0,8.0,2.3,74.5,1.0,0
AR007,"Beras ketan putih tumbuk, mentah",KZGPI- 1990,361.0,7.4,0.8,78.4,0.4,0
AR008,"Jagung muda, kuning, mentah",KZGPI- 1990,147.0,5.1,0.7,31.5,1.3,0
AR009,"Jagung kuning pipil, kering, mentah",KZGPI- 1990,366.0,9.8,7.3,69.1,2.2,1
AR010,"Jagung pipil var, harapan, kering",KZGPI- 1990,367.0,6.2,5.1,76.2,2.6,0
AR011,"Jagung pipil var, metro, kering",KZGPI- 1990,368.0,5.5,4.6,78.0,2.9,0
AR012,Nasi,KZGPI- 1990,180.0,3.0,0.3,39.8,0.2,0
AR013,Nasi tim,OKN-1992,120.0,2.4,0.4,26.0,0.5,0
AR014,"Beras merah, Nasi",KZGPI- 1990,149.0,2.8,0.4,32.5,0.3,0
AR015,"Bihun, mentah",DABM-1964,348.0,4.7,0.1,82.1,1.2,0
AR016,Bihun goreng instan,KZGMS-1993,381.0,6.1,3.9,80.3,0.0,0
AR017,"Bihun Jagung, mentah",BKP,354.0,0.5,0.3,87.4,3.0,0
AR018,"Jagung nasi, mentah",BKP,357.0,8.8,0.5,79.5,6.2,0
AR019,"Jagung muda, rebus",KZGPI- 1990,142.0,5.0,0.7,30.3,0.8,0
AR020,"Jagung kuning, tepung",DABM-1964,355.0,9.2,3.9,73.7,7.2,0
AR021,"Jagung kuning pipil, rebus",KZGPI- 1990,154.0,3.8,3.5,28.4,0.7,0
AR022,"Jagung, tepung putih",DABM-1964,355.0,9.2,3.9,73.7,7.2,0
AR023,"Ketan, ketupat",KZGPI- 1990,212.0,4.0,4.6,38.6,0.2,0
AR024,"Ketan hitam, matang",KZGPI- 1990,181.0,4.0,1.2,37.3,0.3,0
AR025,"Ketan hitam, tapai",KZGPI- 1990,166.0,3.8,1.0,34.4,0.3,0
AR026,"Ketan putih, matang",KZGPI- 1990,163.0,3.0,0.4,35.7,0.2,0
AR027,"Ketan putih, tapai",KZGPI- 1990,172.0,3.0,0.5,37.5,0.6,0
AR028,"Makaroni, mentah",DABM-1964,353.0,8.7,0.4,78.7,4.9,0
AR029,Mi basah,DABM-1964,88.0,0.6,3.3,14.0,0.1,0
AR030,Mi kering,KZGPI- 1990,339.0,10.0,1.7,6.3,0.4,0
AR031,Misoa,KZGPI- 1990,345.0,8.5,2.2,78.0,0.5,0
AR032,Roti putih,DABM-1964,248.0,8.0,1.2,50.0,9.1,0
AR033,Mie aceh rebus,KZGMI-2001,113.0,3.0,3.2,18.1,,0
AR034,Mie ayam,KZGMS-1993,102.0,6.2,3.9,10.5,,0
AR035,Mie bakso,KZGMS-1993,114.0,5.3,3.0,16.4,0.1,0
AR036,Mie celon,KZGMI-2001,102.0,3.0,2.1,17.8,,0
AR037,Mie pangsit basah,KZGMS-1993,105.0,5.9,4.9,9.4,,0
AR038,Nasi gemuk,KZGMI-2001,192.0,3.8,8.8,24.4,0.7,0
AR039,Nasi gurih,KZGMI-2001,190.0,4.7,7.5,26.0,0.7,0
AR040,Nasi minyak,KZGMI-2001,207.0,3.5,5.0,37.1,0.8,0
AR041,Nasi rames,KZGMS-1993,155.0,10.3,4.2,19.1,,0
AR042,Spaghetti,KZGMS-1993,139.0,7.4,2.1,22.6,,0
BR005,"Bengkuang, segar",DABM- 1964,59.0,1.4,0.2,12.8,1.0,0
BR006,"Bentul (Komba), talas, segar",KZGPI- 1990,98.0,1.6,0.7,20.9,0.7,0
BR007,"Gadeng/Gadung, kering",KZGMI-2001,322.0,2.4,0.6,76.6,,0
BR008,"Gadung, ubi, segar",KZGPI- 1990,100.0,0.9,0.3,23.5,2.1,0
BR013,"Kentang, segar",KZGPI- 1990,62.0,2.1,0.2,13.5,0.5,0
BR014,"Kentang hitam, segar",DABM- 1964,142.0,0.9,0.4,33.7,5.4,0
BR015,"Keribang, ubi, segar",KZGPI- 1990,137.0,1.3,1.1,29.8,0.6,0
BR016,"Ketela pohon/singkong, segar",KZGPI- 1990,154.0,1.0,0.3,36.8,0.9,0
BR025,"Talas bogor, segar",KZGPI- 1990,108.0,1.4,0.4,25.0,0.9,0
BR028,"Ubi jalar, kuning, segar",KZGMI-2001,119.0,0.5,0.4,25.1,4.2,0
BR029,"Ubi jalar manis, segar",KZGPI- 1990,83.0,1.5,0.2,18.8,0.6,0
BR030,"Ubi jalar merah, segar",KZGPI- 1990,151.0,1.6,0.3,35.4,0.7,0
BR031,"Ubi jalar putih, segar",KZGMI-2001,88.0,0.4,0.4,20.6,4.0,0
BR032,Ubi jalar tinta/kemayung,KZGMI-2001,108.0,0.5,0.4,25.6,4.2,0
BR033,"Umbi Uwi, segar",BKP,120.0,2.8,0.5,82.3,2.6,0
BP010,"Talas bogor, kukus",KZGPI- 1990,120.0,1.5,0.3,28.2,0.7,0
BP011,"Ubi jalar, kuning, kukus",KZGPI- 1990,100.0,0.7,0.3,23.8,1.0,0
BP012,Ubi jalar tinta/kemayung kukus,KZGPI- 1990,165.0,0.9,0.2,39.8,1.1,0
BP022,Biji nangka/Biji salak,KZGMI-2001,262.0,2.3,5.4,51.1,8.0,0
BP023,Bubur sagu,KZGMI-2001,167.0,0.2,4.0,33.0,,0
BP024,Cassavastick,KZGPI- 1990,460.0,0.8,18.7,71.8,1.6,1
BP025,Ceriping getuk singkong,KZGPI- 1990,462.0,1.2,20.7,67.7,0.6,1
BP028,Getuk goreng,KZGPI- 1990,360.0,1.3,6.4,74.3,0.8,0
BP029,Getuk singkong,KZGPI- 1990,204.0,0.5,1.4,47.4,0.8,0
BP030,Gurandil,KZGPI- 1990,218.0,0.5,2.5,48.5,3.1,0
BP031,Kabuto,KZGMI-2001,250.0,2.6,2.5,35.4,1.8,0
BP032,Kapurung,KZGMI-2001,41.0,2.0,0.3,7.8,2.0,0
BP033,Kecimpring singkong goreng,KZGPI- 1990,464.0,1.2,18.6,73.0,1.3,1
BP034,Keremes,KZGPI- 1990,475.0,1.6,25.2,64.4,2.1,1
BP035,Keripik gadung,KZGPI- 1990,446.0,2.8,14.5,76.0,1.7,1
BP036,Keripik kentang,KZGMI-2001,448.0,2.7,18.8,67.1,3.8,1
BP037,Keripik singkong,KZGPI- 1990,478.0,0.9,20.7,72.0,2.0,1
BP038,Keripik singkong berbumbu,KZGPI- 1990,481.0,2.2,19.7,73.6,1.6,1
BP039,Keripik ubi,KZGMI-2001,486.0,0.2,23.9,67.6,14.3,1
BP040,Kerupuk cumi goreng,KZGMI-2001,444.0,6.9,14.6,71.3,5.0,1
BP041,Kerupuk kemplang (ikan) mentah,KZGMI-2001,325.0,1.8,0.4,78.5,4.5,0
BP042,Kerupuk kemplang goreng,KZGPI- 1990,504.0,5.6,28.1,57.1,0.3,1
BP043,Kerupuk kemplang panggang,KZGPI- 1990,356.0,9.7,1.1,76.9,1.0,0
BP044,Kerupuk mie kuning goreng,KZGPI- 1990,476.0,0.1,21.1,71.3,4.2,1
BP045,Kerupuk udang goreng,KZGMI-2001,477.0,4.7,20.5,68.5,5.0,1
BP046,Kue bangket,KZGMI-2001,338.0,1.5,1.2,80.3,,0
BP047,Kue putu singkong,KZGMI-2001,217.0,1.2,0.5,53.2,2.4,0
BP048,Lanting getuk,KZGPI- 1990,422.0,0.9,10.8,80.4,1.4,1
BP049,Mi golosor,KZGPI- 1990,71.0,0.2,0.8,15.9,0.1,0
BP050,Mie Bendo,BKP,353.0,0.3,0.0,88.0,2.4,0
BP051,Mie Sagu,BKP,190.0,0.2,0.4,46.5,1.4,0
